ID,TITLE,LLM_CATEGORY
3752,Najwa Shihab Diteror Usai Komentari Video Prabowo,politics
3753,Ombak Mirip Tsunami Sapu Bersih Tempat Wisata,others
3754,“Stasiun televisi Jepang telah membatalkan program Hari Tahun Baru dan melaporkan tsunami dan gempa bumi”,others
3755,Rusun Puspa Agro Sidoarjo Dirusak oleh Pengungsi Rohingya,others
3756,Video Najwa Shihab Mempromosikan Situs Judi,scam
3750,Video Jokowi Menyaksikan Debat Cawapres,politics
3751,“Cadas pangeran longsor baru saja kejadiannya”,others
3740,Video Banjir Bandang Sedalam 10 Meter Lumpuhkan Ibu Kota,others
3741,Nama Anies Baswedan Masuk dalam Daftar Penikmat Uang Hasil Korupsi BTS Kominfo,politics
3742,SBY Tuduh Jokowi Sebagai Dalang dari Pecahnya Koalisi Perubahan,politics
3743,Partai Demokrat Merapat ke PDIP dan Siap Menangkan Ganjar,politics
3744,NasDem Akui Terima Aliran Dana Korupsi dari Syahrul Yasin Limpo,politics
3745,Gempa Bermagnitudo 9.7 Guncang Jepang pada 2 Januari 2024,others
3746,“pengungsi Rohingya bakar gudang di Aceh karena gak dikasih uang”,others
3747,SURAT KETERANGAN LOLOS TAHAPAN SELEKSI PT FREEPORT INDONESIA,scam
3748,AKUN WHATSAPP PJ BUPATI BOGOR ASMAWA TUSEPU,scam
3749,Hanya Gibran yang Memakai Microphone yang Dipegang saat Debat Cawapres,politics
3733,Cover Majalah TIME 2023: Benjamin Netanyahu disebut sebagai “Killer of the Year”,politics
3734,Foto Bill Gates Dieksekusi Mati,others
3735,“ROHINGNYA MULAI MASUK KENJERAN SURABAYA”,others
3736,“Anak SMP divonis 7 tahun Karena Mengkritik Jokowi”,politics
3737,: Anies berikan tutorial cara memasak kodok,politics
3738,Pulau Jawa Terkikis Ombak Ganas,others
3739,Angin Puting Beliung Sapu Bersih 2.420 Unit Rumah,others
3732,"“Saya king kevin,Khusus 160 orang tercepat yang mengucapkan {HALO KING} aku transfer 2-5 juta secara acak”",scam
3727,AS dan Australia akan Memberikan 30% Lahannya untuk PBB,politics
3728,KPU Temukan Bukti Vital Kecurangan Gibran di Debat Cawapres,politics
3729,Ombak Mirip Tsunami Terjang 15 Pantai Wisata,others
3730,Dua Ibu Kota Terbelah Akibat Gempa Bermagnitudo 10.4,others
3731,“Warga Makassar Garang Terhadap Kecurangan Pemilu pak RT Dilabrak Bawaslu Menghilang”,politics
3724,: Gibran sudah jadi Ulama,politics
3725,“hujan uang kampanye 02”,politics
3726,AKUN WHATSAPP BUPATI PENAJAM MEMBAGIKAN SEJUMLAH UANG KE YAYASAN PAUD,scam
3716,"Vaksin Influenza Mengandung Merkuri, Aluminium, dan Bahan Bahaya Lainnya",others
3717,Surat Permintaan Maaf Universitas Edinburgh kepada Warga Palestina Atas Deklarasi Balfour,politics
3718,CNN Memberitakan “Kyiv Sudah Berakhir” di Times Square New York,others
3719,Video Billboard Hamas Secara Brutal Memperkosa dan Membunuh Ratusan Wanita Israel,others
3720,Buldoser Israel Menabrak Pengungsi Pasien Rumah Sakit Kamal Adwan di Palestina,others
3721,Gambar Jokowi sedang Menonton Gibran saat Debat Cawapres,politics
3722,Presiden Volodymyr Zelenskyy Naturalisasi Menjadi Warga Negara AS,politics
3723,Foto Bawah Laut Saat Gempa Jepang Desember 2023,others
3706,Video di Jalan Cadas Pangeran Sumedang Longsor,others
3707,Akun WhatsApp Kapolresta Magelang Mustofa,scam
3708,Akun WhatsApp Kadisdik Kabupaten Tanah Laut Abdillah,scam
3709,“Menteri Pertahanan Israel ini menangis karena Hamas menangkap putrinya”,politics
3710,Video Kapal Feri Mengangkut Pengungsi Rohingnya,others
3711,“Akun Facebook Mohdar Yanlua mau berinfaq untuk pembangunan masjid”,scam
3712,"Video “blayer rx king di depan polisi, oknum polisi mendukung paslon 03”",politics
3713,“Hanya di Era Rezim ini Para musuh Islam di lindungi”,politics
3714,Video Ekspresi Prabowo Saat Anies dan Ganjar Beri Skor Rendah Atas Kinerja Kementerian Pertahanan,politics
3715,: Reaksi Gibran saat ditanya soal susu,politics
3704,": “MUNDUR DARI KOALISI PRABOWO, PAN PUTAR BALIK DUKUNG GANJAR”",politics
3705,Surat Pembatalan Usulan Seleksi CPNS Permintaan Penambahan Pegawai di Kemenkumham NTT,politics
3703,“PANGLIMA ISRAEL yang perintah Bakar Mesjid Al Aqsa di tangkap HAMAS”,politics
3693,AKUN WHATSAPP KAPOLRES ACEH TIMUR MEMINTA SEJUMLAH BANTUAN,scam
3694,“Suara kami tidak bisa ditukar dengan sembako”,politics
3695,"Mantan Menteri Keuangan Pakistan, Miftah Ismail, Menyalahgunakan Dana Pinjaman IMF",politics
3696,Wabah Pneumonia di Cina Baru-Baru Ini adalah Varian Baru COVID-19,others
3697,Vaksin COVID mRNA menyebabkan VAIDS (Vaccine Acquired Immunodeficiency Syndrome),others
3698,Gibran Ketahuan Menggunakan Otak Panduan saat Debat Cawapres oleh Tretan Muslim dan Coki Pardede,politics
3699,Video Gempa yang Disusul Tsunami di Jepang 1 Januari 2024,others
3700,Poster Warning dari Ibu Sri “Indonesia Dimiskinkan”,politics
