Entity,Total Mentions,Positive (%),Negative (%),Neutral (%)
Bank BNI,28,10.714285714285714,7.142857142857142,82.14285714285714
Bank BRI,63,4.761904761904762,7.936507936507936,87.3015873015873
Bank Indonesia,322,13.354037267080745,11.801242236024844,74.84472049689441
Raffi Ahmad,120,19.166666666666668,15.0,65.83333333333333
Baim Wong,63,11.11111111111111,4.761904761904762,84.12698412698413
Najwa Shihab,11,27.27272727272727,9.090909090909092,63.63636363636363
Pertamina,18,16.666666666666664,5.555555555555555,77.77777777777779
OJK,5,0.0,20.0,80.0
Giveaway,161,14.285714285714285,8.695652173913043,77.01863354037268
Lowongan Kerja,96,5.208333333333334,0.0,94.79166666666666
Pinjol,9,11.11111111111111,0.0,88.88888888888889
