entity,count,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,community
amerika,47,0.5,0.10352218328408803,0.35366068884957513,0.04556367437495522,0
as,18,0.3571428571428571,0.0640673553371966,0.2493052086625372,0.024024482547411234,0
israel,64,0.3571428571428571,0.0512749375844614,0.1490990407015775,0.058495276257706244,0
rumah sakit,25,0.2857142857142857,0.04259593287371064,0.19560015191513186,0.021085227855023786,0
perang,14,0.2857142857142857,0.026041785962420873,0.12088907275036795,0.030636490129268636,0
kesehatan,72,0.39285714285714285,0.014791051100574909,0.3288595325084944,0.07163528340648445,1
bencana,90,0.25,0.013668430335097,1.5622019076321804e-06,0.0765378067651026,2
vaksin,56,0.3571428571428571,0.009166017697763729,0.3093171851466001,0.0654246425886934,1
covid,47,0.3571428571428571,0.009166017697763729,0.3093171851466001,0.06054707313615499,1
virus,32,0.3571428571428571,0.008356715301159744,0.30395149610284733,0.0492864810716885,1
rusia,16,0.17857142857142855,0.007848324514991182,0.08320681713464473,0.0210914794392005,0
gaza,20,0.17857142857142855,0.005943028165250387,0.06795896032798897,0.02800256612122688,0
obat,41,0.3214285714285714,0.005637726471059803,0.2801684832808332,0.030681861567592266,1
gunung,28,0.17857142857142855,0.004629629629629629,1.2239740885850714e-06,0.03844855323424949,2
gempa,97,0.21428571428571427,0.004409171075837742,1.4651455618379317e-06,0.041710557694538145,2
who,29,0.3214285714285714,0.004253800285546317,0.2901626786222329,0.04791426806406086,1
banjir,50,0.17857142857142855,0.0024250440917107582,1.2784874343824037e-06,0.039347364113245666,2
hamas,9,0.17857142857142855,0.00170087114531559,0.07332464937174174,0.020556346337632748,0
palestina,38,0.17857142857142855,0.00170087114531559,0.07332464937174174,0.04032158588985958,0
rs,18,0.21428571428571427,0.0015392015392015391,0.19171922209470474,0.015529925367738659,1
china,31,0.14285714285714285,0.0012125220458553791,0.086753947573933,0.012437086893979793,0
pandemi,17,0.25,0.0009700176366843033,0.2380460353269172,0.033869850406094464,1
bmkg,13,0.14285714285714285,0.0006613756613756613,1.0977646757131179e-06,0.020240437112008333,2
tsunami,32,0.14285714285714285,0.0006613756613756613,1.107033838105066e-06,0.03411684615176158,2
kemenkes,9,0.25,0.0,0.24147162939457167,0.017401779614545292,1
ukraina,9,0.10714285714285714,0.0,0.03920510380043423,0.01597419264293831,0
longsor,10,0.10714285714285714,0.0,8.821351156149366e-07,0.016680755743683596,2
erupsi,9,0.07142857142857142,0.0,5.708030473610251e-07,0.017109508670312915,2
ivermectin,2,0.0,0.0,2.4574645333885547e-24,0.005328596802841919,3
