entity,count,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,community
penipuan,109,0.861111111111111,0.11038681174019518,0.2722902363727328,0.08620834820944089,2
facebook,134,0.8055555555555555,0.06850850486188834,0.26561101674081067,0.08364559344799931,0
lowongan,71,0.5,0.06472101972101972,0.17872861780186175,0.04196346269243367,1
gratis,86,0.6944444444444444,0.06080196745610279,0.24347342946058836,0.052701739268580246,1
modus,84,0.6944444444444444,0.03851417379612868,0.24153623479051203,0.06419028823446968,1
whatsapp,147,0.6666666666666666,0.027941060842063346,0.24029510591555103,0.06284846879984889,1
instagram,78,0.6388888888888888,0.02582465872566123,0.2310939610758254,0.052617522988948895,2
tiktok,68,0.5833333333333333,0.018829233515950308,0.21818706442889735,0.030241830956972162,1
hadiah,115,0.611111111111111,0.01496496587975285,0.23141622404055714,0.0596633689840379,0
rekrutmen,28,0.3611111111111111,0.014657898956144569,0.13385341638708514,0.023997402587689544,1
dana,63,0.5,0.013868897045588779,0.19009015112659614,0.03049336360959405,2
bank,108,0.5833333333333333,0.011685802362494089,0.2254710198132183,0.06088434210339316,0
rekening,44,0.5555555555555556,0.010781292410365092,0.214068771951501,0.02915128149731262,0
kartu,18,0.5,0.008346578465626085,0.2005854095914488,0.020026596362274454,0
bpjs,28,0.4722222222222222,0.007408094550951694,0.18639608811881905,0.02145253676724646,1
bni,27,0.4722222222222222,0.00678908532291991,0.18032772123382754,0.01973908569306091,0
bri,34,0.41666666666666663,0.005435452183572485,0.15881779698957726,0.023779740828085563,0
undian,79,0.4722222222222222,0.004841820437058533,0.18856337839344944,0.047587913706286344,0
pertamina,18,0.2777777777777778,0.004377104377104376,0.09897445262539743,0.01127487995646743,1
mandiri,23,0.4444444444444444,0.00383934987318446,0.1829157970643571,0.019815592438318423,0
transfer,53,0.38888888888888884,0.0026723541009255293,0.1600040718495832,0.02312171149831987,0
loker,32,0.3333333333333333,0.0006734006734006734,0.13278671739864112,0.017864437170870533,1
bumn,23,0.3055555555555555,0.0005291005291005291,0.12149023317105448,0.014238028614155986,1
promo,14,0.2777777777777778,0.00035757892900750043,0.12216223565823074,0.013689700398963653,0
akun palsu,8,0.25,0.0001221001221001221,0.11246738117153042,0.00965403162861283,2
bansos,9,0.16666666666666666,0.00010582010582010582,0.07279212262476696,0.007886520761701219,2
giveaway,17,0.25,0.0,0.11482958849289086,0.009949891584694656,2
pulsa,6,0.08333333333333333,0.0,0.030030445345469947,0.00580538445883193,1
saldo,8,0.25,0.0,0.1103927485815503,0.010195252900498379,0
pln,7,0.05555555555555555,0.0,0.02060259267745592,0.00531369447741757,1
bca,9,0.19444444444444442,0.0,0.07829968826958508,0.010214493610762572,0
gopay,1,0.0,0.0,2.6164781474529943e-14,0.004354136429608389,3
ovo,1,0.0,0.0,2.6164781474529943e-14,0.004354136429608389,4
penipu,3,0.1388888888888889,0.0,0.06605777747785743,0.0062348132102432565,2
kuota,5,0.1111111111111111,0.0,0.0551762584145282,0.0057023698999738885,2
blt,2,0.0,0.0,2.6164781474529943e-14,0.004354136429608389,5
cpns,3,0.027777777777777776,0.0,0.009758866978613423,0.004783901363667978,1
