document_id,ID,topic_id,probability
0,3752,0,0.038072612
0,3752,1,0.014235652
0,3752,2,0.1215076
0,3752,3,0.021007275
0,3752,4,0.015440708
0,3752,5,0.5336127
0,3752,6,0.016137352
0,3752,7,0.11412517
0,3752,8,0.11338497
0,3752,9,0.0124759665
1,3750,0,0.05463619
1,3750,1,0.02629263
1,3750,2,0.02590431
1,3750,3,0.08383355
1,3750,4,0.028518217
1,3750,5,0.12006732
1,3750,6,0.028020408
1,3750,7,0.033083092
1,3750,8,0.5266825
1,3750,9,0.072961755
2,3741,0,0.052738365
2,3741,1,0.022874136
2,3741,2,0.022539414
2,3741,3,0.098041944
2,3741,4,0.024810381
2,3741,5,0.5636533
2,3741,6,0.02722732
2,3741,7,0.09489689
2,3741,8,0.07317167
2,3741,9,0.020046623
3,3742,0,0.045527652
3,3742,1,0.021932
3,3742,2,0.021608068
3,3742,3,0.02831506
3,3742,4,0.023788532
3,3742,5,0.67887986
3,3742,6,0.023688335
3,3742,7,0.027834142
3,3742,8,0.10920535
3,3742,9,0.019220954
4,3743,0,0.09479362
4,3743,1,0.023936158
4,3743,2,0.023582619
4,3743,3,0.030879885
4,3743,4,0.071382314
4,3743,5,0.5629181
4,3743,6,0.025508922
4,3743,7,0.031063238
4,3743,8,0.11495778
4,3743,9,0.020977387
5,3744,0,0.043636363
5,3744,1,0.060992848
5,3744,2,0.060703285
5,3744,3,0.027190091
5,3744,4,0.022826267
5,3744,5,0.20223683
5,3744,6,0.023061035
5,3744,7,0.39904666
5,3744,8,0.14186317
5,3744,9,0.018443473
6,3749,0,0.3235549
6,3749,2,0.25639564
6,3749,3,0.021248674
6,3749,4,0.13214773
6,3749,5,0.1438648
6,3749,6,0.018451067
6,3749,7,0.033940986
6,3749,8,0.05856171
7,3733,0,0.07282351
7,3733,1,0.03512286
7,3733,2,0.034604117
7,3733,3,0.4078079
7,3733,4,0.038096208
7,3733,5,0.19575715
7,3733,6,0.03743047
7,3733,7,0.044193782
7,3733,8,0.1033826
7,3733,9,0.03078133
8,3736,0,0.035616323
8,3736,1,0.016973974
8,3736,2,0.01672328
8,3736,3,0.021898082
8,3736,4,0.018410776
8,3736,5,0.1523644
8,3736,6,0.2759984
8,3736,7,0.02184191
8,3736,8,0.3931112
8,3736,9,0.04706166
9,3737,0,0.09026608
9,3737,1,0.035044067
9,3737,2,0.10103559
9,3737,3,0.045210276
9,3737,4,0.23764595
9,3737,5,0.16003115
9,3737,6,0.037346918
9,3737,7,0.093017966
9,3737,8,0.1031511
9,3737,9,0.09725084
10,3727,0,0.23989479
10,3727,1,0.040522125
10,3727,2,0.03992358
10,3727,3,0.052277166
10,3727,4,0.043952566
10,3727,5,0.23898387
10,3727,6,0.04318443
10,3727,7,0.13924928
10,3727,8,0.12649898
10,3727,9,0.035513204
11,3728,0,0.12286651
11,3728,1,0.030927777
11,3728,2,0.030470999
11,3728,3,0.03989986
11,3728,4,0.033545718
11,3728,5,0.19996293
11,3728,6,0.032960135
11,3728,7,0.03891533
11,3728,8,0.14977486
11,3728,9,0.32067585
12,3731,0,0.061444968
12,3731,1,0.015478494
12,3731,2,0.0152498875
12,3731,3,0.019968761
12,3731,4,0.01678871
12,3731,5,0.18825106
12,3731,6,0.25168246
12,3731,7,0.2838545
12,3731,8,0.104341164
12,3731,9,0.04294001
13,3724,0,0.077851646
13,3724,1,0.037546095
13,3724,2,0.03699157
13,3724,3,0.048438128
13,3724,4,0.040724274
13,3724,5,0.17145647
13,3724,6,0.39632833
13,3724,7,0.04724292
13,3724,8,0.11051571
13,3724,9,0.03290495
14,3725,0,0.06358106
14,3725,1,0.015943693
14,3725,2,0.015708217
14,3725,3,0.020568928
14,3725,4,0.017293274
14,3725,5,0.09731294
14,3725,6,0.3369425
14,3725,7,0.020061385
14,3725,8,0.10084177
14,3725,9,0.3117462
15,3717,0,0.036946137
15,3717,2,0.017693926
15,3717,3,0.019285325
15,3717,5,0.85536337
15,3717,7,0.014371621
15,3717,8,0.02521048
16,3721,0,0.33223152
16,3721,1,0.010089759
16,3721,2,0.028653327
16,3721,3,0.2625269
16,3721,4,0.029620402
16,3721,5,0.110847265
16,3721,6,0.09147198
16,3721,7,0.012799796
16,3721,8,0.113049
17,3722,0,0.07318067
17,3722,1,0.03511403
17,3722,2,0.03459537
17,3722,3,0.045300286
17,3722,4,0.038086582
17,3722,5,0.5508848
17,3722,6,0.0374211
17,3722,7,0.044182632
17,3722,8,0.11046092
17,3722,9,0.030773578
18,3709,0,0.026168047
18,3709,1,0.036320154
18,3709,2,0.012344324
18,3709,3,0.01616412
18,3709,4,0.013589945
18,3709,5,0.2987869
18,3709,6,0.20372427
18,3709,7,0.06511304
18,3709,8,0.31680855
18,3709,9,0.01098059
19,3712,0,0.0726629
19,3712,1,0.035043586
19,3712,2,0.035292298
19,3712,3,0.25812456
19,3712,4,0.03800992
19,3712,5,0.1757448
19,3712,6,0.037346408
19,3712,7,0.044094108
19,3712,8,0.27296963
19,3712,9,0.030711778
20,3713,0,0.03748884
20,3713,1,0.014224657
20,3713,2,0.014014567
20,3713,3,0.019102141
20,3713,4,0.01542874
20,3713,5,0.120190874
20,3713,6,0.679776
20,3713,7,0.018426334
20,3713,8,0.06888148
20,3713,9,0.012466319
21,3714,0,0.11123854
21,3714,2,0.015271303
21,3714,3,0.017924285
21,3714,4,0.025569929
21,3714,5,0.40149185
21,3714,6,0.015830496
21,3714,8,0.36418226
21,3714,9,0.036071412
22,3715,0,0.06371831
22,3715,1,0.027678858
22,3715,2,0.027270062
22,3715,3,0.346148
22,3715,4,0.030021794
22,3715,5,0.22624499
22,3715,6,0.032067787
22,3715,7,0.03602475
22,3715,8,0.18656805
22,3715,9,0.024257418
23,3704,0,0.064149976
23,3704,1,0.030938266
23,3704,2,0.030481324
23,3704,3,0.15706547
23,3704,4,0.033557136
23,3704,5,0.25533077
23,3704,6,0.03297125
23,3704,7,0.038928505
23,3704,8,0.2120265
23,3704,9,0.1445509
24,3705,0,0.09749609
24,3705,2,0.018755144
24,3705,5,0.6770548
24,3705,7,0.112998344
24,3705,8,0.05905637
25,3703,0,0.03957819
25,3703,1,0.018797508
25,3703,2,0.018519877
25,3703,3,0.025076438
25,3703,4,0.020388689
25,3703,5,0.19148277
25,3703,6,0.34103742
25,3703,7,0.023652224
25,3703,8,0.30499297
25,3703,9,0.016473915
26,3694,0,0.05585056
26,3694,1,0.02629164
26,3694,2,0.025903335
26,3694,3,0.0339188
26,3694,4,0.028517134
26,3694,5,0.1200629
26,3694,6,0.5390856
26,3694,7,0.059887532
26,3694,8,0.08744081
26,3694,9,0.023041673
27,3695,0,0.068140864
27,3695,1,0.032862857
27,3695,2,0.032377496
27,3695,3,0.04239628
27,3695,4,0.035644617
27,3695,5,0.27481768
27,3695,6,0.03502234
27,3695,7,0.041350164
27,3695,8,0.09673073
27,3695,9,0.3406569
28,3698,0,0.70562065
28,3698,1,0.013616127
28,3698,2,0.013306299
28,3698,3,0.024269938
28,3698,5,0.15357092
28,3698,7,0.020697035
28,3698,8,0.0444392
