document_id,ID,topic_id,probability
0,3753,0,0.047076993
0,3753,1,0.040681224
0,3753,2,0.4732926
0,3753,3,0.03083717
0,3753,4,0.07987782
0,3753,5,0.20072444
0,3753,6,0.12750971
1,3754,0,0.050686724
1,3754,1,0.020714998
1,3754,2,0.15699041
1,3754,3,0.62501615
1,3754,4,0.010016632
1,3754,5,0.11869791
1,3754,6,0.017877182
2,3755,0,0.044210076
2,3755,1,0.089231595
2,3755,2,0.031551715
2,3755,3,0.7018928
2,3755,4,0.018494895
2,3755,5,0.08781566
2,3755,6,0.026803302
3,3751,0,0.04844525
3,3751,1,0.04204815
3,3751,2,0.14632243
3,3751,3,0.549349
3,3751,4,0.019575067
3,3751,5,0.11019759
3,3751,6,0.08406252
4,3740,0,0.04697707
4,3740,1,0.04066553
4,3740,2,0.74157023
4,3740,3,0.030824559
4,3740,4,0.020676918
4,3740,5,0.08907215
4,3740,6,0.030213565
5,3745,0,0.06653682
5,3745,1,0.052625626
5,3745,2,0.26523635
5,3745,3,0.037826803
5,3745,4,0.16895804
5,3745,5,0.34083223
5,3745,6,0.06798416
6,3746,0,0.38309377
6,3746,1,0.031395376
6,3746,2,0.027233172
6,3746,3,0.44919538
6,3746,4,0.015963173
6,3746,5,0.0699848
6,3746,6,0.023134364
7,3734,0,0.13043435
7,3734,1,0.11656135
7,3734,2,0.10111562
7,3734,3,0.08835918
7,3734,4,0.05926264
7,3734,5,0.4183717
7,3734,6,0.08589514
8,3735,0,0.090413906
8,3735,1,0.07732826
8,3735,2,0.06708835
8,3735,3,0.25540087
8,3735,4,0.039316297
8,3735,5,0.40717605
8,3735,6,0.063276224
9,3738,0,0.05990375
9,3738,1,0.036366224
9,3738,2,0.40045363
9,3738,3,0.036628637
9,3738,4,0.018490806
9,3738,5,0.07941763
9,3738,6,0.36873925
10,3739,0,0.083832495
10,3739,1,0.040860493
10,3739,2,0.6814886
10,3739,3,0.030832507
10,3739,4,0.020681774
10,3739,5,0.10594272
10,3739,6,0.036361504
11,3729,0,0.04552989
11,3729,1,0.04334464
11,3729,2,0.50844127
11,3729,3,0.03084225
11,3729,4,0.25457385
11,3729,5,0.08728635
11,3729,6,0.029981723
12,3730,0,0.04071061
12,3730,1,0.037800215
12,3730,2,0.4155182
12,3730,3,0.26878002
12,3730,4,0.12289363
12,3730,5,0.08712441
12,3730,6,0.027172908
13,3716,0,0.102437615
13,3716,1,0.011059701
13,3716,3,0.021013146
13,3716,4,0.23225965
13,3716,5,0.42359987
13,3716,6,0.20051058
14,3718,0,0.015941482
14,3718,1,0.010663182
14,3718,4,0.034269005
14,3718,5,0.65883505
14,3718,6,0.26397213
15,3719,0,0.11017914
15,3719,1,0.012457961
15,3719,2,0.049844496
15,3719,4,0.024154313
15,3719,5,0.7664057
15,3719,6,0.02745443
16,3720,0,0.04408159
16,3720,1,0.026151702
16,3720,2,0.22766607
16,3720,3,0.053293254
16,3720,5,0.5372303
16,3720,6,0.104266696
17,3723,0,0.07766281
17,3723,1,0.06940396
17,3723,2,0.16116512
