ID,TITLE,DATE,HOAX_TEXT,LLM_CATEGORY
3753,Ombak Mirip Tsunami Sapu Bersih Tempat Wisata,2 Jan 2024,“Live ; MEMAKAN KORBAN JIWA… PADA AWAL TAHUN 2024 OMBAK MIRIP TSUNAMI SAPU BERSIH WILAYAH INI | OMBAK MIRIP TSUNAMI SAPU BERSIH TEMPAT WISATA HARI INI”,others
3754,“Stasiun televisi Jepang telah membatalkan program Hari Tahun Baru dan melaporkan tsunami dan gempa bumi”,2 Jan 2024,"“Gelombang tsunami setinggi lima meter telah mencapai pantai barat Jepang.Stasiun televisi Jepang telah membatalkan program Hari Tahun Baru dan melaporkan tsunami dan gempa bumi. Ancaman tsunami juga tlh diumumkan di wilayah Sakhalin Rusia, dan sebagian pantai barat pulau itu”. PENJELASAN Berdasarkan 7 Jenis Mis- dan Disinformasi oleh First Draft News, termasuk “Konten yang Menyesatkan: Penggunaan informasi yang sesat untuk membingkai sebuah isu atau individu”",others
3755,Rusun Puspa Agro Sidoarjo Dirusak oleh Pengungsi Rohingya,2 Jan 2024,"“gara gara listrik padam, pengungsi rohingya rus4k rusun sidoarjo #rohingya #berita #trending #viral #foryoupage #news” PENJELASAN Berdasarkan 7 Jenis Mis- dan Disinformasi oleh First Draft News, termasuk “Konten yang Menyesatkan: Penggunaan informasi yang sesat untuk membingkai sebuah isu atau individu”",others
3751,“Cadas pangeran longsor baru saja kejadiannya”,3 Jan 2024,"“Cadas pangeran longsor baru saja kejadiannya”. PENJELASAN Berdasarkan 7 Jenis Mis- dan Disinformasi oleh First Draft News, termasuk “Konten yang Menyesatkan: Penggunaan informasi yang sesat untuk membingkai sebuah isu atau individu”",others
3740,Video Banjir Bandang Sedalam 10 Meter Lumpuhkan Ibu Kota,4 Jan 2024,"“Menjerit… IBU KOTA LUMPUH TOTAL,TAK TERTOLONG BANJIR BANDANG MELUAP RATUSAN HARTA HANYUT | TAK TERTOLONG BANJIR BANDANG 10 METER MELUAP RATUSAN RUMAH HANYUT”",others
3745,Gempa Bermagnitudo 9.7 Guncang Jepang pada 2 Januari 2024,4 Jan 2024,"“BARU SAJA GEMPA MAGNITUDE 9,7 GUNCANG JEPANG,AIR LAUT SEKETIKA MELUAP TERJADI KIAMAT”",others
3746,“pengungsi Rohingya bakar gudang di Aceh karena gak dikasih uang”,4 Jan 2024,"“Gawat!! pengungsi Rohingya bakar gudang di Aceh karena gak dikasih uang”. PENJELASAN Berdasarkan 7 Jenis Mis- dan Disinformasi oleh First Draft News, termasuk “Konten yang Menyesatkan: Penggunaan informasi yang sesat untuk membingkai sebuah isu atau individu”",others
3734,Foto Bill Gates Dieksekusi Mati,5 Jan 2024,“ZAP ZAP!!!”.,others
3735,“ROHINGNYA MULAI MASUK KENJERAN SURABAYA”,5 Jan 2024,“ROHINGNYA MULAI MASUK KENJERAN SURABAYA” https://vt.tiktok.com/ZSN7cG2ta/ https://archive.cob.web.id/archive/1704366153.88541/index.html,others
3738,Pulau Jawa Terkikis Ombak Ganas,5 Jan 2024,"“Live ; PULAU JAWA TERKIKIS OMBAK GANAS, GELOMBANG TINGGI 10 METER MELUAP INFO BMKG TERBARU | PULAU JAWA DALAM BAHAYA, GELOMBANG TINGGI 10 METER MELUAP BELASAN WARUNG AMBRULADUL”",others
3739,Angin Puting Beliung Sapu Bersih 2.420 Unit Rumah,5 Jan 2024,"“Terhempas… SEBANYAK 2,420 RUMAH HANCUR TERSAPU DAHSYATNYA PUTING BELIUNG TORNADO | ANGIN PUTING BELIUNG SAPU BERSIH BELASAN DUSUN HINGGA BERHAMBURAN”",others
3729,Ombak Mirip Tsunami Terjang 15 Pantai Wisata,8 Jan 2024,“Live; 15 PANTAI WISATA REMUK… DAHSYATNYA TERJANGAN OMBAK MIRIP TSUNAMI PULUHAN NELAYAN TERSERET”,others
3730,Dua Ibu Kota Terbelah Akibat Gempa Bermagnitudo 10.4,8 Jan 2024,"“BARU SAJA GEMPA MAGNITUDE 10,4 SR BELAH 2 IBU KOTA,RIBUAN WARGA LARI KOCAR KACIR KELUAR RUMAH | BARU SAJA GEMPA MAGNITUDE 10.4 SR BERGUNCANG RATUSAN GEDUNG RETAK”",others
3716,"Vaksin Influenza Mengandung Merkuri, Aluminium, dan Bahan Bahaya Lainnya",10 Jan 2024,"“FLU SHOT INGREDIENTS INCLUDES: Mercury (thimerosal), Anti-freeze, Formaldehyde, Aluminum Dye, Ethanol, E. Coli, Human Embryonic (aborted baby) Lung Culture, Aborted Human Diploid Cell Cultures (WI-38 & MRC-5 ), Aluminum, Acetone, Monkey Kidney Cells, Barium, Fetal Cow Serum, Cow Muscle Tissue, DNA from Pig Circoviruses (PCV), Embrionic Guinea Pig Cells, Insect Cell Bacterial, Human Albumin, Chicken Protein, Porcine (pig) Gelatin, Porcine (pig) Argine, Canine (dog) Kidney Cell Protein and DNA, Mueller’s Media ( containing cow extracts ), Detergent, Dextrose, Chloride, Gelatin.” Terjemahan: “BAHAN-BAHAN VAKSIN FLU DI ANTARANYA: Merkuri (thimerosal), Anti beku, Formaldehida, Pewarna Aluminium, Etanol, E. Coli, Kultur Paru Embrionik Manusia (bayi diaborsi), Kultur Sel Diploid Manusia yang Diaborsi (WI-38 & MRC-5 ), Aluminium, Aseton, Ginjal Monyet Sel, Barium, Serum Janin Sapi, Jaringan Otot Sapi, DNA dari Pig Circoviruses (PCV), Sel Embrionik Guinea Pig, Bakteri Sel Serangga, Albumin Manusia, Protein Ayam, Gelatin Porcine (babi), Argine Porcine (babi), Canine (anjing ) Protein dan DNA Sel Ginjal, Media Mueller ( mengandung ekstrak sapi ), Deterjen, Dekstrosa, Klorida, Gelatin.” = = = Penjelasan: Beredar gambar di Twitter yang menginformasikan bahan-bahan dari vaksin influenza atau flu mengandung bahan-bahan yang berbahaya seperti merkuri, aluminium, hingga aseton senyawa kimia yang mudah terbakar. Namun hasil penelusuran menunjukkan bahwa klaim tersebut menyesatkan. Penelusuran AFP menunjukkan bahwa bahan-bahan yang tercantum dalam gambar tersebut sebagian besar tidak terbukti terkandung dalam beberapa jenis vaksin influenza. Informasi yang keliru tentang kandungan vaksinasi sudah beberapa kali beredar dan dibantah validitasnya oleh para ahli sebelumnya. Melalui AFP, para ahli menyatakan bahwa bahan-bahan yang digunakan dalam vaksin influenza yang beredar di masyarakat telah terbukti keamanannya. Dengan demikian, Vaksin Influenza mengandung Merkuri, Aluminium, dan bahan bahaya lainnya adalah tidak benar dengan kategori Konten yang Menyesatkan. = = = Referensi: https://factcheck.afp.com/doc.afp.com.347T9Y6 https://cekhoax.id/cek-fakta/salah-vaksin-influenza-mengandung-merkuri-aluminium-dan-bahan-bahaya-lainnya",others
3718,CNN Memberitakan “Kyiv Sudah Berakhir” di Times Square New York,10 Jan 2024,"“A CNN advertisement in New York shows that even in the United States, few people believe Ukraine will win. @ukraine_watch” “CNN: Kyiv is All Over. Will The Russians Stop There or Go Further? Discover This and More on Political Briefing” Terjemahan: “Iklan CNN di New York menunjukkan bahwa bahkan di Amerika Serikat, hanya sedikit orang yang percaya Ukraina akan menang. @ukraine_watch” “CNN: Kyiv Sudah Berakhir. Akankah Rusia Berhenti di Situ atau Melangkah Lebih Jauh? Temukan Ini dan Lebih Banyak Lagi tentang Pengarahan Politik” = = = Penjelasan: Sebuah postingan di Twitter memberitakan bahwa kondisi perang di Kyiv sudah berakhir, dalam postingan tersebut juga menunjukkan bukti CNN memberitakan kabar tersebut yang ditampilkan di billboard Time Square New York. Namun hasil penelusuran tidak ditemukan dari sumber valid lainnya yang membenarkan kabar tersebut. Dilansir dari Reuters, video yang dijadikan bukti tersebut adalah hasil rekayasa digital, CNN membantah telah memasang iklan berita tersebut di Times Square New York. Dengan demikian, CNN memberitakan “Kyiv Sudah Berakhir” di Times Square New York adalah tidak benar dengan kategori Konten yang Dimanipulasi. = = = Referensi: https://www.reuters.com/fact-check/times-square-kyiv-is-all-over-ad-is-not-real-cnn-billboard-2023-12-22/ https://cekhoax.id/cek-fakta/salah-cnn-memberitakan-kyiv-sudah-berakhir-di-times-square-new-york = = =",others
