ID,TITLE,DATE,HOAX_TEXT,LLM_CATEGORY
3752,Najwa Shihab Diteror Usai Komentari Video Prabowo,2 Jan 2024,"“MENGERIKAN Nampaknya Darah dan Pola Pikir Pemimpin Otoriter Ala Era Orde Baru Melekat Didalam Diri Prabowo, Hal Tersebut Terlihat dari Intimidasi yang Diberikan Kepada Najwa Shihab Berikan Kritik Soal Penarikan Kerah Baju Bahlil di Acara Debat Cawapres”",politics
3750,Video Jokowi Menyaksikan Debat Cawapres,3 Jan 2024,“Gibran Tanggapi Cak Imin Menolak IKN Dan Gibran Menjawab Pertanyaan Mahfud #prabowo #prabowopersiden2024 #jokowi #foryou #fypシ #fyp #gibran”,politics
3741,Nama Anies Baswedan Masuk dalam Daftar Penikmat Uang Hasil Korupsi BTS Kominfo,4 Jan 2024,“Hampir 7 Jam Diperiksa!! Jhonny G Plate Bocorkan Nama Anies Masuk Daftar Penikmat Uang Hasil Korupsi BTS 8 Triliun | Apakah Penerima Hasil Uang Korupsi Bisa Ditahan??”,politics
3742,SBY Tuduh Jokowi Sebagai Dalang dari Pecahnya Koalisi Perubahan,4 Jan 2024,"“Hilang Respect!! Bukannya Intropeksi Diri, SBY Malah Tuduh Presiden Jokowi Dalang Pecahnya Koalisi Perubahan | Yang Hianati Anies, Yang Dituduh Presiden Jokowi “",politics
3743,Partai Demokrat Merapat ke PDIP dan Siap Menangkan Ganjar,4 Jan 2024,"“Anies Langsung Mewek!! Nyesal Hianati Demokrat | SBY-AHY Gabung PDIP Siap Menangkan Ganjar 2024, Ahy Siap Balaskan Dendam Kepada Surya Paloh dan Anies”",politics
3744,NasDem Akui Terima Aliran Dana Korupsi dari Syahrul Yasin Limpo,4 Jan 2024,“Terbongkar!! Nasdem Akui Terima Aliran Dana Korupsi dari Mentan Yasin Limpo | Masa Iya Cuma Dapat 20 Juta Sih Pak Syahroni? Bukannya 2 Miliar Ya? “,politics
3749,Hanya Gibran yang Memakai Microphone yang Dipegang saat Debat Cawapres,4 Jan 2024,"“KENAPA HANYA GIBRAN YANG PEGANG MICROPHINE? SANGAT MUNGKIN KARENA MICROPHONE YANG MELEKAT DIALIHFUNGSIKAN MENJADI ALAT BANTU DENGAR SILAHKAN TERIAK HOAX KALAU BISA MENJELASKAN KENAPA…!!!” = = = = = PENJELASAN: Akun Facebook roger.silalahi_official memposting gambar yang menunjukan foto Cawapres dari nomor 1-3 saat debat Cawapres. Dalam postingan tersebut mengklaim bahwa hanya Gibran Cawapres nomor 2 yang diberi microphone yang dialih fungsikan menjadi alat bantu dengar. Setelah ditelusuri dengan membandingkan alat yang digunakan Cawapres saat debat pada Jumat, 22 Desember 2023 ketiga Cawapres baik Cak Imin, Mahfud dan Gibran sama sama memakai 3 alat diantaranya microphone yang di pegang, mic di dada dan mic di pipi. Dalam video kanal Youtube KOMPASTV berjudul “Debat Cawapres Muhaimin, Gibran dan Mahfud MD di Pilpres 2024” pada menit 1 jam 8 menit 56 detik terlihat Cak Imin yang sedang menggunakan microphone yang dipegang. Sama seperti yang diinformasikan Stasiun TV penyelenggara bawa ketiga Cawapres menggunakan 3 microphone dan tidak ada cawapres yang diberikan keistimewaan. Ketiga microphone tersebut bertujuan untuk mengantisipasi jika ada salah satu mikrofon yang tidak menyala. Ketiga microphone tersebut diantaranya pertama, mikrofon skin tone countryman yang menempel di pipi melalui cantolan telinga dan kabelnya melingkar di belakang leher peserta serta transmitter bodypack yang dipasang di celana atau pinggang bagian belakang atau saku celana peserta. Kedua, clip-on bodypack yang menempel di baju, juga dengan transmitter bodypack yang dipasang di celana atau pinggang bagian belakang atau saku celana peserta. Ketiga, mikrofon tangan WHM (wireless handheld microphone) diletakkan di tiap podium peserta. Dengan demikian klaim hanya Gibran yang memakai microphone yang dipegang saat debat Cawapres adalah tidak benar. Ketiga Cawapres sama-sama menggunakan 3 microphone diantaranya mikrofon skin tone countryman, clip-on bodypack dan mikrofon tangan WHM, sehingga masuk dalam kategori konten yang menyesatkan. REFERENSI: https://cekhoax.id/cek-fakta/salah-hanya-gibran-yang-memakai-microphone-yang-dipegang-saat-debat-cawapres https://www.youtube.com/watch?v=pNVtiDT8nVM https://www.detik.com/bali/berita/d-7108929/penjelasan-stasiun-tv-soal-polemik-3-mikrofon-gibran-yang-disentil-roy-suryo https://turnbackhoax.id/2023/12/23/salah-kenapa-si-no-2-ini-sampai-gunakan-3-tiga-mic-sekaligus-mengapa-2-calon-yg-lain-beda/",politics
3733,Cover Majalah TIME 2023: Benjamin Netanyahu disebut sebagai “Killer of the Year”,5 Jan 2024,"“Everyone please post this on your social media. Killer of the year. Responsible for War Crime, Crime of Apartheid, Crime of Genocide”.",politics
3736,“Anak SMP divonis 7 tahun Karena Mengkritik Jokowi”,5 Jan 2024,"“Anak SMP divonis 7 tahun Karena Mengkritik Jokowi, *Lantas mengapa Jokowi Tidak Divonis Bersalah Atas Perbuatan PEMALSUAN IJAZAH ??? JIKA TERPILIH AMIN Akan TUNTASKAN !!!”. PENJELASAN Berdasarkan 7 Jenis Mis- dan Disinformasi oleh First Draft News, termasuk “Konten yang Menyesatkan: Penggunaan informasi yang sesat untuk membingkai sebuah isu atau individu”",politics
3737,: Anies berikan tutorial cara memasak kodok,5 Jan 2024,"JIKA HARI MU KACAU SILAHKAN TONTON VIDEO INI, BIAR TAMBAH KACAU Tutorial cara memasak kodok ===",politics
3727,AS dan Australia akan Memberikan 30% Lahannya untuk PBB,8 Jan 2024,AS dan Australia akan Memberikan 30% Lahannya untuk PBB,politics
3728,KPU Temukan Bukti Vital Kecurangan Gibran di Debat Cawapres,8 Jan 2024,"“GEGER MALAM INI || KPU TEMUKAN BVKTI V1TAL, KECUR4NG4N GIBRAN DI PILPRES T£RB0NGK∆R”",politics
3731,“Warga Makassar Garang Terhadap Kecurangan Pemilu pak RT Dilabrak Bawaslu Menghilang”,8 Jan 2024,"“*Video lanjutan di komentar. _Warga Makassar. Garang Terhadap Kecurangan Pemilu. pak RT Dilabrak..Bawaslu Menghilang…! Harap Kepada Semua Relawan AMIN … Bisa Mencontoh Ketegasan ini … TIDAK ADA KOMPROMI TERHADAP KECURANGAN PEMILU … BASMI … !!! KECURANGAN PEMILU …_”. PENJELASAN Berdasarkan 7 Jenis Mis- dan Disinformasi oleh First Draft News, termasuk “Konten yang Menyesatkan: Penggunaan informasi yang sesat untuk membingkai sebuah isu atau individu”",politics
3724,: Gibran sudah jadi Ulama,9 Jan 2024,Sudah jd Ulama plus gelar Kiyai/Gus?… Astagfirullaah… ===,politics
3725,“hujan uang kampanye 02”,9 Jan 2024,"“hujan uang kampanye 02 di daerah Embuh. Demokrasi sedang Sakit 😥 Bawaslu pasti pura-pura gak liat ato biarkan saja.? Lantas kerjanya ngapain aja Sik ? @bawasluri #politikuang #MalingUangRakyat”. PENJELASAN Berdasarkan 7 Jenis Mis- dan Disinformasi oleh First Draft News, termasuk “Konten yang Menyesatkan: Penggunaan informasi yang sesat untuk membingkai sebuah isu atau individu”",politics
