document_id,ID,topic_id,probability
0,3756,0,0.040292345
0,3756,1,0.010047628
0,3756,2,0.12516151
0,3756,3,0.016897777
0,3756,4,0.8076007
1,3747,0,0.045210224
1,3747,1,0.010044268
1,3747,2,0.029406205
1,3747,3,0.89982986
1,3747,4,0.01550944
2,3748,0,0.121209845
2,3748,1,0.019843148
2,3748,2,0.38292912
2,3748,3,0.44536638
2,3748,4,0.03065154
3,3732,0,0.17883301
3,3732,1,0.019839272
3,3732,2,0.062379695
3,3732,3,0.03413191
3,3732,4,0.70481616
4,3726,0,0.15057455
4,3726,2,0.59731686
4,3726,3,0.108532265
4,3726,4,0.13680157
5,3707,0,0.2507947
5,3707,1,0.06255404
5,3707,2,0.48499575
5,3707,3,0.10505239
5,3707,4,0.09660313
6,3708,0,0.15526737
6,3708,1,0.038726866
6,3708,2,0.6811611
6,3708,3,0.06503778
6,3708,4,0.05980685
7,3711,0,0.2765794
7,3711,1,0.038729366
7,3711,2,0.55983245
7,3711,3,0.06504519
7,3711,4,0.059813507
8,3693,0,0.17316681
8,3693,1,0.03873576
8,3693,2,0.6632042
8,3693,3,0.06506344
8,3693,4,0.059829768
9,3689,0,0.5484995
9,3689,1,0.06255272
9,3689,2,0.17740986
9,3689,3,0.10504994
9,3689,4,0.106488
10,3692,0,0.19629005
10,3692,1,0.021988418
10,3692,2,0.42546216
10,3692,3,0.32229406
10,3692,4,0.033965223
11,3674,0,0.2057786
11,3674,1,0.6783022
11,3674,2,0.055115193
11,3674,3,0.032889035
11,3674,4,0.027914874
12,3682,0,0.04593085
12,3682,1,0.9195417
12,3682,2,0.016774317
13,3667,0,0.23499167
13,3667,1,0.032542925
13,3667,2,0.24762213
13,3667,3,0.059720863
13,3667,4,0.4251224
14,3668,0,0.026993813
14,3668,1,0.93190926
14,3668,2,0.01989329
14,3668,3,0.011025158
14,3668,4,0.010178451
15,3648,0,0.023603415
15,3648,2,0.35480636
15,3648,3,0.07908786
15,3648,4,0.537679
16,3619,0,0.06141415
16,3619,1,0.0142981075
16,3619,2,0.8778324
16,3619,3,0.024377473
16,3619,4,0.02207782
17,3625,0,0.040345766
17,3625,1,0.010060511
17,3625,2,0.86571765
17,3625,3,0.06758213
17,3625,4,0.016293926
18,3627,0,0.6820349
18,3627,1,0.024658171
18,3627,2,0.21222131
18,3627,3,0.042992357
18,3627,4,0.038093206
19,3628,0,0.08048895
19,3628,2,0.15193139
19,3628,3,0.72387093
19,3628,4,0.04126071
20,3629,0,0.63355595
20,3629,1,0.032533243
20,3629,2,0.2102507
20,3629,3,0.05797868
20,3629,4,0.06568141
21,3631,0,0.7246333
21,3631,1,0.038731985
21,3631,2,0.10987744
21,3631,3,0.06693713
21,3631,4,0.059820175
22,3632,0,0.37195516
22,3632,1,0.16049562
22,3632,2,0.40809387
22,3632,3,0.031540677
22,3632,4,0.027914606
23,3633,0,0.38527083
23,3633,1,0.028805748
23,3633,2,0.08059411
