ID,TITLE,DATE,HOAX_TEXT,LLM_CATEGORY
3756,Video Najwa Shihab Mempromosikan Situs Judi,2 Jan 2024,"“🟢 Cuan Aa Raffi | https://heylink.me/wededufan365/ Info Eksklusif dari Mata Natwa dengan Aa Raffi | By PG Soft Today”. PENJELASAN Berdasarkan 7 Jenis Mis- dan Disinformasi oleh First Draft News, termasuk “Konten yang Dimanipulasi: Ketika informasi atau gambar yang asli dimanipulasi untuk menipu”.",scam
3747,SURAT KETERANGAN LOLOS TAHAPAN SELEKSI PT FREEPORT INDONESIA,4 Jan 2024,“KepadaYth : Para Calon Karyawan PT FREEPORT INDONESIA Di – Tempat Sehubungan dengan recruitment karyawan PT. FREEPORT INDONESIA 2023 untuk wilayah penempatan kerja sesuai domisili calon karyawan PT FREEPORT INDONESIA di seluruh Indonesia. Maka kami beritahukan bahwa dengan ini saudara dinyatakan Lulus seleksi dan wajib mengikuti tes selanjutnya sampai tahap akhir sesuai dengan jadwal berikut:”,scam
3748,AKUN WHATSAPP PJ BUPATI BOGOR ASMAWA TUSEPU,4 Jan 2024,“Assalamualaikum Selamat sore Pak DIRUT TOHAGA Hormat kami PJ BUPATI BOGOR”,scam
3732,"“Saya king kevin,Khusus 160 orang tercepat yang mengucapkan {HALO KING} aku transfer 2-5 juta secara acak”",6 Jan 2024,"“Saya king kevin,Khusus 160 orang tercepat yang mengucapkan {HALO KING} aku transfer 2-5 juta secara acak”",scam
3726,AKUN WHATSAPP BUPATI PENAJAM MEMBAGIKAN SEJUMLAH UANG KE YAYASAN PAUD,9 Jan 2024,A: “Selamat siang Maaf apa betul saat ini saya sdg terhubung dengan pengurus PAUD MERPATI B: “iya pak” A: “Perkenalkan saya Makmur Marbun selaku Pj Bupati Kabupaten Penajam Paser Utara Tujuan saya menghubungi saat ini terkait pembagian donasi dari pemkab PENAJAM paser utama dan di tujukan ke tempat Paud khusus nya yg masih masuk wilayah Penajam paser utara Saat ini Paud Merpati masuk dalam daftar penerima donasi”,scam
3707,Akun WhatsApp Kapolresta Magelang Mustofa,11 Jan 2024,“Assalamualaikum”,scam
3708,Akun WhatsApp Kadisdik Kabupaten Tanah Laut Abdillah,11 Jan 2024,“Assalamualaikum Pak Apa khbr”,scam
3711,“Akun Facebook Mohdar Yanlua mau berinfaq untuk pembangunan masjid”,11 Jan 2024,“Akun Facebook Mohdar Yanlua mau berinfaq untuk pembangunan masjid”,scam
3693,AKUN WHATSAPP KAPOLRES ACEH TIMUR MEMINTA SEJUMLAH BANTUAN,15 Jan 2024,A: Di save ini wa saya. B: Ini siapa? A: Ini saya Pak Nova.,scam
3689,AKUN FACEBOOK KAPOLDA KALSEL “WINARTO SILVANA”,16 Jan 2024,(tidak terdapat narasi),scam
3692,SURAT PEMBERITAHUAN PAJAK PENYAMPAIAN SPT TAHUNAN OLEH DITJEN PAJAK,16 Jan 2024,SURAT PEMBERITAHUAN PAJAK PENYAMPAIAN SPT TAHUNAN OLEH DITJEN PAJAK,scam
3674,"“Dalam rangka merayakan Ulang tahun BNi yg ke 77,Bank BNI mengadakan Pengundian gebyar undian Poin BNI”",17 Jan 2024,"“Dalam rangka merayakan Ulang tahun BNi yg ke 77,Bank BNI mengadakan Pengundian gebyar undian Poin BNI”",scam
3682,GEBYAR UNDIAN BNI KE-77 BAGI-BAGI HADIAH,17 Jan 2024,"*hai sobat BNI..* *Dalam rangka merayakan Ulang tahun BNi yg ke 77,Bank BNI mengadakan Pengundian gebyar undian Poin BNI.* *Khusus Nasabah (Bank-BNI) yang sudah Mempunyai (Mobile banking atau Sms banking Bni) ayo buruan daftar agar kamu berkesempatan menjadi pemenang Gebyar-Undian-Pesta-Poin (Bank-BNI)* *1 Unit Rumah* *Mobil* *Motor* *Emas Murni* *Lemari Es* *Smartphone* *TV* *Sepeda gunung* *Rice cooker* *Info lebih lanjut tentang pendaftaran (Gebyar-Undian) silakan klik menu (Daftar Sekarang) yang telah kami sediah kan* *Untuk pendaftaran gratis…*",scam
3667,Give Away Motor Aerox dari Yamaha,18 Jan 2024,“INI BENERAN 100% REAL Nomor Berapakah Yang Ada Selain Nomor 5..??”,scam
3668,Akun Facebook Mengatasnamakan BNI Unggah Postingan Berisi Gebyar Bank BNI 2024,18 Jan 2024,“Hai sobat.. BNI PROMO TAHUN 2024 Khusus Nasabah (Bank-BNI) yang sudah Mempunyai (Mobile banking atau Sms banking Bni) ayo buruan daftar agar kamu berkesempatan menjadi pemenang Gebyar-Undian-Awal Tahun 2024 (Bank-BNI) 1 Unit Rumah Mobil Motor Emas Murni Lemari Es Smartphone TV Sepeda gunung Rice cooker Info lebih lanjut tentang pendaftaran (Gebyar-Undian) silakan klik menu (Daftar) yang telah kami sediah kan Untuk pendaftaran gratis…”,scam
