topic_id,term,weight
0,temu,0.021270849
0,rupa,0.020373942
0,dapat,0.01778367
0,gambar,0.017636267
0,benar,0.015749916
0,jelas_akun,0.0149125345
0,judul,0.014610505
0,sama,0.014602546
0,sedang,0.013973745
0,tampil,0.013631605
0,artikel,0.012123455
0,masuk_kategori,0.01137923
0,guna,0.010799917
0,kena,0.01069765
0,memposting_buah,0.010188369
0,bagi,0.009709524
0,unggah,0.00964572
0,lansir,0.009542645
0,tangkap_layar,0.009534676
0,asli,0.009462026
1,istana,0.02810048
1,kini,0.027191246
1,lantik,0.02660792
1,bakal,0.02599677
1,kaesang,0.020241302
1,ganti,0.019498449
1,ribu,0.018257784
1,publikasi,0.014865875
1,pramono,0.014756531
1,utus,0.014582528
1,potong,0.013950335
1,ketua,0.013880609
1,maju,0.012913008
1,rano,0.01246188
1,ridwan_kamil,0.01173422
1,coba,0.010922561
1,putra,0.01084881
1,ketua_umum,0.010463966
1,busuk,0.01041081
1,pki,0.010063563
2,bongkar,0.041807964
2,bantu,0.035661805
2,detik,0.026018767
2,ancam,0.024569783
2,bikin,0.02301505
2,agama,0.020610021
2,partai,0.01831713
2,segera,0.017911801
2,cina,0.017757008
2,tangan,0.014166094
2,mata,0.013987567
2,pertama,0.012782928
2,selatan,0.012018336
2,survei,0.011453438
2,kirim,0.011017045
2,bawa,0.011013122
2,bambang,0.010712497
2,luar,0.009769811
2,juang,0.008609069
2,saksi,0.008293543
3,dpr,0.026023915
3,milik,0.02589638
3,jelas_buah,0.021399584
3,agustus,0.019491492
3,bayar,0.017745784
3,lapor,0.016846681
3,punya,0.01568102
3,gratis,0.014457565
3,kejut,0.014120188
3,mana,0.013224563
3,polisi,0.013136659
3,tinggal,0.012956538
3,program,0.01218298
3,periksa,0.011382438
3,asal,0.010631301
3,kalian,0.010387865
3,mas,0.010384559
3,aset,0.009402734
3,kompas,0.009042639
3,bagi,0.009018779
4,demo,0.03327309
4,kpk,0.032483686
4,kasus,0.026872905
4,mahasiswa,0.026461521
4,usai,0.021549089
4,akun_nama,0.02056034
4,datang,0.019932173
4,libat,0.018230272
4,gagal,0.018162565
4,cari,0.018084722
4,seret,0.017295895
4,tuntut,0.015870314
4,raja,0.013423829
4,budi_arie,0.013104625
4,banding,0.013003722
4,tak,0.011898498
4,rekam,0.011491906
4,megawati,0.011241752
4,diam,0.010751429
4,bukti,0.010664995
5,jadi,0.022860456
5,indonesia,0.02096169
5,sebut,0.017859433
5,presiden,0.01715582
5,telusur,0.016434966
5,hasil,0.015526921
5,negara,0.014897815
5,baru,0.011360646
5,bukan,0.010667432
5,anies,0.010285761
5,nyata,0.009780864
5,israel,0.0095570125
5,beberapa,0.009428758
5,orang,0.009137561
5,buat,0.008895897
5,kait,0.008837354
5,perintah,0.008342026
5,besar,0.007931722
5,tahu,0.0077145807
5,satu,0.0076480643
6,akhir,0.037972566
6,jakarta,0.034917954
6,ambil,0.023502812
6,jelas_dasar,0.019479077
6,disinformasi_first,0.019479077
6,draft_news,0.019479077
6,jenis_mis,0.019479077
6,oktober,0.01529441
6,individu,0.0141722625
6,guna_bingkai,0.014033336
6,buah_isu,0.014033336
6,masuk_sesat,0.014033336
6,manipulasi,0.013345892
6,penjara,0.013256002
6,edit,0.012539468
6,mirip,0.01246241
6,islam,0.012298063
6,rupa_hasil,0.012045044
6,cepat,0.010401773
6,tampak,0.009969284
7,mau,0.024127988
7,lanjut,0.023250699
7,suara,0.01841558
7,china,0.017643418
7,pakai,0.016092606
7,tengah,0.015156174
7,juta,0.014978374
7,kalah,0.014496742
7,jabat,0.014299614
7,google,0.014277052
7,dunia,0.013594485
7,jawa,0.012010754
7,sejak,0.011911812
7,anggota,0.0115064075
7,aku,0.011138872
7,tempo,0.011044053
7,kok,0.010103434
7,harga,0.010089642
7,per,0.009940675
7,juni,0.009896575
8,jokowi,0.080222815
8,prabowo,0.069674484
8,gibran,0.035772406
8,resmi,0.021222351
8,pilkada,0.01735707
8,anak,0.014375046
8,tolak,0.013499384
8,hingga,0.012858611
8,pak,0.011283644
8,ikn,0.010993279
8,rakyat,0.01026036
8,rumah,0.010232522
8,presiden,0.010088475
8,tetap,0.010046967
8,jkw,0.009711265
8,tni,0.009463136
8,wapres,0.009425877
8,tangkap,0.009321578
8,dukung,0.008856188
8,putus,0.008693611
9,kpu,0.029559143
9,pecat,0.028777136
9,gak,0.021742256
9,naik,0.01870767
9,terus,0.018510213
9,kuasa,0.01799164
9,panggil,0.014556936
9,tanda,0.014414452
9,kerja,0.013693453
9,makin,0.013191316
9,puan,0.013157051
9,darurat,0.01297626
9,hidup,0.010785589
9,penuh,0.010369459
9,gila,0.0095287105
9,gerindra,0.009248135
9,sambut,0.009177894
9,sakit,0.008835753
9,padahal,0.008491932
9,bilang,0.008079318
